rowIndex,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,ClaimAmount
9,0.716,529,1,1,1,39,0,62,0,50,5,6,4,3,6,2,15,0,437.72
75,0.25,169,5,1,0,25,2,37,0,76,5,7,4,3,6,4,3,0,0
115,0.347,469,7,0,0,39,0,61,0,50,2,14,4,3,8,5,18,1,3835
129,0.524,448,8,1,0,28,2,65,0,50,7,6,4,1,1,4,16,1,3230.68
166,0.926,227,3,0,1,32,1,42,0,90,5,9,4,3,7,4,10,1,992.5323263
292,0.971,56,4,1,1,32,1,23,0,100,6,12,4,3,5,3,12,1,1204
341,0.368,308,8,1,0,32,1,43,0,50,3,12,4,3,5,3,17,1,1944.57
480,0.5,215,3,1,0,32,1,36,0,60,2,12,4,3,8,5,19,0,0
570,0.249,166,2,0,0,32,1,32,0,90,5,8,4,3,6,4,15,2,917.7253776
714,0.214,188,6,0,0,34,1,34,0,63,3,9,4,3,4,4,15,2,469.4610272
896,0.833,334,1,1,0,32,2,51,0,50,5,11,4,3,7,5,13,1,698.14
945,0.641,186,3,0,0,32,1,34,0,72,1,12,4,3,8,4,7,2,243.08429
955,0.983,331,2,1,1,32,3,53,0,100,1,5,5,3,1,1,15,1,77.75
988,0.166,438,3,1,0,32,0,55,0,64,4,14,2,1,6,3,17,1,0
1041,0.749,222,4,0,1,10,1,38,0,76,5,11,2,1,7,4,16,1,1173
1059,0.416,377,2,0,0,20,0,49,0,118,1,17,5,3,9,3,8,0,1941.94
1077,0.583,175,1,1,1,32,0,32,0,60,5,11,2,1,7,4,12,1,1021.79
1261,0.5,379,3,0,0,32,2,51,0,55,5,9,4,3,3,5,15,1,1198.619637
1396,0.749,222,4,0,1,10,1,38,0,76,5,11,2,1,7,4,16,1,2801.873112
1429,0.192,176,0,0,1,32,3,33,0,100,5,7,2,1,4,2,19,1,1173
1503,0.808,651,5,1,0,39,0,79,0,56,5,12,4,3,8,5,17,0,1204
1560,0.833,123,5,0,1,32,1,38,1,100,5,6,4,1,4,2,17,1,1963.891541
1702,0.11,49,5,0,1,10,1,23,0,80,5,8,4,3,3,5,16,0,5940.15
1707,0.749,174,6,0,0,32,1,33,0,60,5,8,4,3,5,4,18,0,2346
1780,1,201,2,1,1,32,2,34,0,50,6,17,2,1,7,3,16,0,1769.3
1819,0.166,158,7,1,0,32,0,32,0,90,5,13,4,3,8,5,10,2,1070.42
1877,0.833,66,3,1,1,32,2,27,0,85,6,15,5,3,9,4,16,0,163.48
1997,0.347,162,1,0,1,32,1,36,0,64,5,6,4,3,5,2,17,1,60.16132931
2130,0.666,38,2,0,1,10,1,23,0,90,1,8,4,3,7,2,16,1,1454.71
2289,0.347,94,4,1,0,32,1,29,0,124,6,12,5,3,9,5,10,1,602
2335,0.487,347,1,0,1,32,0,55,0,50,7,13,2,1,8,5,16,1,0
2426,0.166,438,3,1,0,32,0,55,0,64,4,14,2,1,6,3,17,1,0
2544,0.249,180,2,0,0,34,1,34,0,51,5,9,4,3,6,4,11,2,0
2767,0.749,264,2,0,0,32,0,40,0,100,5,10,2,1,7,4,16,1,8075.603927
2881,0.469,269,0,0,0,34,1,41,0,60,1,12,4,3,7,4,1,0,4326.52568
2896,0.499,114,1,0,1,32,0,42,0,95,5,8,2,1,5,2,14,1,1326
3084,0.5,215,3,1,0,32,1,36,0,60,2,12,4,3,8,5,19,0,163.1
3152,0.867,335,0,0,0,32,2,51,0,50,7,8,2,1,3,4,20,1,3000.95
3156,0.688,48,4,0,1,32,2,22,0,95,5,5,4,3,2,1,19,1,1453.59
3173,1,143,1,1,0,32,1,30,0,68,6,12,2,1,4,5,17,1,2346
3191,0.196,260,7,1,0,32,1,40,0,50,5,14,4,3,7,3,7,1,4740.632628
3198,0.5,215,3,1,0,32,1,36,0,60,2,12,4,3,8,5,19,0,192.1722054
3204,0.166,161,6,1,1,32,0,33,0,90,5,8,5,1,5,4,20,1,1326
3240,0.666,350,8,0,0,32,1,47,0,106,7,8,4,1,3,5,17,1,1204
3333,0.291,143,2,1,0,32,0,38,0,80,6,12,2,1,7,4,20,1,14775
3342,0.333,146,5,0,0,0,0,30,0,90,5,6,4,1,4,2,9,1,90.41
3811,0.458,257,0,1,1,34,1,40,0,100,5,5,4,3,3,2,13,0,4562.175227
3812,0.349,134,3,1,1,32,0,31,0,85,5,10,4,3,7,4,18,0,3205.623263
3828,0.583,309,6,1,0,32,0,51,0,64,2,22,4,3,9,3,16,0,663
3913,1,404,1,1,0,38,3,52,0,50,5,15,2,1,8,3,17,1,661.2208459
3978,0.469,269,0,0,0,34,1,41,0,60,1,12,4,3,7,4,1,0,4326.52568
4017,0.516,19,7,1,0,32,1,26,0,100,5,7,5,1,4,4,17,1,1204
4116,0.916,54,5,1,1,10,1,22,0,100,2,14,4,3,9,5,17,0,6229.501813
4125,0.586,141,3,1,0,27,2,37,0,85,8,7,2,1,2,4,20,1,2278
4380,0.916,213,3,1,0,29,1,35,0,50,8,8,4,1,2,4,16,1,2275.96
4439,0.833,344,6,0,0,29,2,47,0,81,8,10,4,1,0,0,10,1,1326
4536,0.75,279,3,1,0,29,2,42,0,64,3,9,4,3,6,4,11,1,8639.890332
4597,0.25,171,6,0,0,32,1,33,0,64,5,8,4,3,5,4,18,0,0
4749,0.833,266,2,1,0,32,0,45,0,50,2,19,4,3,9,5,13,2,428.45
4750,0.291,143,2,1,0,32,0,38,0,80,6,12,2,1,7,4,20,1,14775
4810,0.083,230,5,0,0,34,0,37,0,57,3,9,2,1,3,5,10,1,663
4849,0.183,72,1,1,1,32,0,24,0,90,5,11,2,1,7,4,11,1,0
4891,0.833,453,8,1,0,32,1,59,0,50,6,11,4,3,3,3,20,1,1204
4930,0.833,100,2,1,1,32,3,28,0,100,8,4,4,1,3,2,15,1,2837.220544
4986,0.625,55,0,0,1,32,0,37,0,95,5,9,2,1,5,2,16,0,1927.38
5354,0.5,172,3,1,1,32,0,33,0,85,5,9,2,1,5,4,11,2,3368.36284
5565,0.833,149,3,1,1,32,2,32,0,90,2,18,4,3,9,3,7,0,1119
5574,0.166,117,8,0,1,32,1,28,0,72,8,3,1,3,4,2,12,1,388.42
5652,0.583,81,1,1,1,32,1,26,1,95,5,10,2,1,6,4,20,0,1120.93
5855,0.125,316,3,0,1,32,1,47,0,50,5,9,2,1,5,4,20,2,1213.97
5960,0.741,1,1,0,1,23,0,19,0,100,5,8,2,1,5,2,15,1,0
6532,0.143,184,5,1,0,32,2,39,0,59,5,10,4,3,7,5,13,0,0
6702,0.763,390,8,0,0,34,1,52,0,50,5,15,4,3,9,3,17,2,4776.39
6831,0.749,172,5,1,0,25,2,37,0,72,5,7,4,3,6,4,3,0,1938.818429
6902,0.749,163,3,0,1,32,0,31,0,85,2,4,5,3,1,1,9,1,1113.56
7048,0.733,303,6,0,1,32,2,47,0,85,5,4,4,3,2,1,17,0,0
7064,0.833,559,0,1,0,32,2,71,0,95,5,11,4,3,8,5,9,2,1326
7108,1,339,2,1,1,32,2,51,0,50,8,9,4,1,1,0,11,2,288.1522659
7159,1,382,5,1,0,32,2,55,0,71,5,17,2,1,9,3,11,2,94.02416918
7343,0.692,303,6,0,0,32,0,45,0,50,3,13,4,3,5,3,12,1,0
7427,0.625,55,0,0,1,32,0,37,0,95,5,9,2,1,5,2,16,0,3689.54139
7476,1,174,7,1,0,32,1,40,0,95,5,9,5,1,4,4,20,1,1204
7527,0.127,337,4,1,0,32,1,46,0,51,7,14,2,1,8,5,9,1,102.5900302
7643,0.329,4,0,0,1,10,1,21,0,100,5,3,4,3,2,2,11,1,9904.974924
7695,0.299,314,4,0,0,34,1,46,0,50,5,12,4,3,7,5,7,1,4720.508157
7864,0.246,78,8,0,1,32,0,26,0,72,5,7,4,1,3,4,19,1,1156.58
8053,0.077,159,7,0,1,32,1,32,0,68,5,7,5,1,5,2,7,1,1204
8072,0.5,274,2,1,0,29,1,44,0,90,8,9,4,1,1,0,18,1,2228.97
8107,0.166,177,1,0,0,32,0,36,1,80,5,15,4,3,9,4,16,0,76.75
8126,0.833,100,2,1,1,32,3,28,0,100,8,4,4,1,3,2,15,1,0
8139,0.396,435,5,1,0,32,1,55,0,58,1,14,4,3,8,3,17,2,0
8168,0.166,439,8,1,0,32,1,55,0,50,3,11,4,3,5,3,15,1,0
8171,0.292,421,0,1,0,32,2,58,0,66,0,10,4,3,6,4,4,1,928
8199,0.176,443,8,1,0,28,2,60,0,50,5,15,4,1,7,3,17,0,640.81
8210,0.666,122,6,1,1,32,1,51,0,95,5,3,4,3,1,2,13,1,15436.53
8232,0.833,396,2,1,0,32,1,55,0,58,8,5,4,1,4,2,20,0,2346
8281,0.749,172,5,1,0,25,2,37,0,72,5,7,4,3,6,4,3,0,1938.818429
8381,1,420,8,1,0,44,2,54,0,50,5,18,4,3,6,3,17,0,0
8389,0.097,88,1,1,1,32,1,26,1,90,5,10,2,1,6,4,20,0,0
8610,0.469,269,0,0,0,34,1,41,0,60,1,12,4,3,7,4,1,0,2346
8715,0.611,53,0,0,1,32,1,26,0,80,1,10,4,3,8,2,17,1,365.07
8771,0.784,77,2,1,0,32,1,35,1,76,5,11,2,1,6,5,18,1,1204
8804,0.109,352,8,0,0,32,0,55,1,50,5,11,4,3,5,3,18,2,2498.44
8810,0.416,118,1,0,1,32,1,27,0,95,5,7,4,3,5,2,15,1,203.54
8883,0.666,238,3,1,1,32,0,37,0,57,5,6,4,3,6,2,18,2,0
8957,0.958,579,4,1,0,39,0,66,0,50,7,11,4,3,8,5,15,1,1056.42
8987,0.583,124,4,1,0,32,2,28,0,57,8,6,3,2,0,4,1,1,1204
9124,0.333,397,4,1,0,29,2,59,0,50,8,8,4,3,2,0,14,1,0
9182,1,382,5,1,0,32,2,55,0,71,5,17,2,1,9,3,11,2,0
9302,1,420,8,1,0,44,2,54,0,50,5,18,4,3,6,3,17,0,464.123565
9415,0.307,152,2,1,0,32,0,33,1,67,3,11,2,1,5,4,11,0,2515.994864
9457,0.166,447,3,1,0,32,1,56,1,50,5,7,4,3,7,2,9,1,649.4501511
9475,0.019,491,0,1,0,32,2,59,0,50,5,16,2,1,8,3,3,0,0
9627,0.916,411,0,0,1,32,1,54,0,50,5,10,4,3,8,4,16,1,439.07
9765,0.35,510,2,1,0,32,1,61,0,76,6,14,5,1,3,3,16,1,0
9833,0.75,161,1,0,0,32,0,40,1,73,4,15,5,1,3,3,17,2,0
10004,0.916,464,7,0,0,32,1,58,0,90,5,8,4,3,7,2,14,1,310.7746224
10129,0.105,320,1,1,0,0,2,45,0,148,5,16,5,3,9,5,16,0,3884
10433,0.749,162,2,0,0,32,0,48,0,85,5,10,2,1,7,4,11,1,0
10674,0.833,430,1,1,0,25,3,57,0,50,5,16,2,1,9,5,12,0,0
11027,1,201,2,1,1,32,2,34,0,50,6,17,2,1,7,3,16,0,2701.828097
11336,1,245,7,0,1,32,1,38,0,63,2,11,4,3,8,5,15,1,759.06
11492,0.416,377,2,0,0,20,0,49,0,118,1,17,5,3,9,3,8,0,4998.056193
11843,0.666,445,2,0,0,32,3,56,0,50,5,11,2,1,5,4,16,1,712.4628399
11851,0.833,149,3,1,1,32,2,32,0,90,2,18,4,3,9,3,7,0,1204
11854,1,420,4,1,0,39,0,62,0,50,1,9,4,3,4,4,12,2,2176.741994
11861,0.336,419,2,1,0,32,0,64,1,76,6,10,4,3,3,5,16,1,1418.610272
11891,0.347,162,1,0,1,32,1,36,0,64,5,6,4,3,5,2,17,1,51.06
11898,0.041,579,4,1,0,39,0,66,0,50,7,11,4,3,8,5,15,1,0
11928,0.499,169,8,0,1,32,0,38,0,50,5,5,4,3,5,2,13,0,39.85
12002,0.867,108,2,1,0,29,1,46,0,100,8,5,2,1,4,2,13,1,1205
12256,0.833,149,3,1,1,32,2,32,0,90,2,18,4,3,9,3,7,0,2737.069486
12288,0.749,222,4,0,1,10,1,38,0,76,5,11,2,1,7,4,16,1,2801.873112
12365,0.842,170,3,0,1,32,1,33,0,54,5,7,4,3,7,2,9,1,626.0030211
12646,1,177,4,1,1,32,1,33,0,80,2,14,5,3,9,4,17,1,0
12704,0.166,513,1,0,0,32,1,62,0,50,5,11,2,1,8,4,7,1,4041.601813
12751,0.75,279,3,1,0,29,2,42,0,64,3,9,4,3,6,4,11,1,1796.7
12770,0.916,97,7,1,1,32,3,26,0,100,8,5,4,1,1,4,12,1,1204
12869,1,177,4,1,1,32,1,33,0,80,2,14,5,3,9,4,17,1,2322.02
12902,0.486,481,2,1,0,32,2,58,0,50,6,13,4,3,4,0,12,1,886.22
12922,1,201,2,1,1,32,2,34,0,50,6,17,2,1,7,3,16,0,2701.828097
13067,0.333,146,5,0,0,0,0,30,0,90,5,6,4,1,4,2,9,1,106.5253776
13345,0.764,275,1,0,0,34,1,46,0,55,5,11,2,1,8,4,6,1,264
13483,0.25,85,3,0,1,10,1,25,0,76,5,11,2,1,7,4,17,2,2709.969789
13490,0.622,131,0,1,0,29,0,36,1,81,5,21,4,3,9,3,19,2,1173
13494,0.75,161,1,0,0,32,0,40,1,73,4,15,5,1,3,3,17,2,1204
13614,0.882,493,4,1,0,32,2,59,0,50,7,7,4,1,2,4,9,1,1420.966767
13695,0.333,137,2,1,1,0,0,33,0,100,5,9,2,1,5,4,18,1,0
13741,0.416,377,2,0,0,20,0,49,0,118,1,17,5,3,9,3,8,0,2300
13878,0.583,443,3,0,1,20,0,57,0,50,5,12,4,3,8,5,11,2,1422.84
13893,0.833,539,1,0,0,39,0,66,1,50,2,3,5,3,1,1,17,1,1204
14004,0.416,18,4,0,0,34,0,42,0,100,5,5,4,3,5,4,13,0,207.27
14066,0.469,343,2,0,0,32,3,50,0,50,1,9,4,3,7,2,16,0,2413.33
14089,0.083,230,5,0,0,34,0,37,0,57,3,9,2,1,3,5,10,1,1173
14123,0.75,279,3,1,0,29,2,42,0,64,3,9,4,3,6,4,11,1,1867
14132,0.666,540,5,1,1,32,0,63,1,62,5,3,4,3,3,1,19,1,3957.24
14286,1,639,7,1,0,39,0,81,1,82,5,6,4,3,5,2,8,0,709.305136
14314,0.716,529,1,1,1,39,0,62,0,50,5,6,4,3,6,2,15,0,0
14348,0.75,262,0,0,0,32,1,40,0,55,4,7,4,3,5,4,6,1,858.4
14379,0.85,305,6,0,0,32,0,48,1,50,5,15,4,3,6,3,16,0,663
14835,0.736,20,5,1,1,32,0,20,1,95,5,6,4,3,4,4,17,1,78
14844,0.499,415,3,1,0,34,0,56,0,72,5,6,4,1,4,4,16,1,2426
14880,0.166,275,0,0,0,34,1,41,0,57,1,12,4,3,7,4,1,0,6179.544109
14926,0.749,138,5,1,0,32,0,30,0,68,5,13,4,3,9,5,12,1,142.5915408
15208,0.166,438,3,1,0,32,0,55,0,64,4,14,2,1,6,3,17,1,1300
15301,1,201,2,1,1,32,2,34,0,50,6,17,2,1,7,3,16,0,0
15310,0.25,160,2,0,1,32,0,31,0,90,2,4,5,3,1,1,9,1,0
15438,1,127,5,1,0,34,2,29,0,76,7,11,5,1,6,5,7,1,1190.19
15483,0.034,119,5,1,1,32,1,42,1,76,5,5,4,1,3,2,17,1,3115.84
15606,0.75,161,1,0,0,32,0,40,1,73,4,15,5,1,3,3,17,2,1377.76
15621,0.086,70,7,0,0,32,1,31,0,85,5,7,5,1,5,2,4,1,731.2323263
15672,0.871,47,2,0,1,32,1,23,0,95,1,8,4,3,7,2,19,0,0
15722,0.394,11,3,0,1,32,1,20,0,100,1,7,5,3,1,1,11,1,1004.76
15773,0.874,513,1,1,0,25,3,61,0,62,5,10,2,1,7,5,14,1,76.58610272
15818,0.764,356,3,0,0,32,0,48,0,58,5,11,2,1,7,4,16,1,2068.31
15921,1,420,8,1,0,44,2,54,0,50,5,18,4,3,6,3,17,0,464.123565
16093,0.636,424,0,0,1,0,2,68,0,67,5,6,4,3,2,2,13,1,0
16199,0.542,316,0,1,0,44,2,44,0,50,5,16,2,1,8,3,16,0,1561.97
16206,0.336,509,8,0,1,39,0,66,1,50,5,7,4,3,5,4,17,2,294.0435045
16444,0.786,504,2,0,0,39,0,62,0,50,5,8,2,1,5,2,16,2,552.1151057
16450,0.499,469,8,1,0,0,2,58,0,50,7,19,4,3,8,3,8,0,1300
16520,0.583,72,2,0,0,32,1,37,0,95,5,6,4,1,4,2,13,2,1204
16583,0.166,177,1,0,0,32,0,36,1,80,5,15,4,3,9,4,16,0,90.4305136
16607,0.333,162,3,1,0,32,1,32,0,57,5,12,2,1,7,4,15,0,89.54682779
16913,0.958,579,4,1,0,39,0,66,0,50,7,11,4,3,8,5,15,1,1056.42
16950,0.705,539,2,1,0,39,0,63,0,50,5,11,4,3,5,2,16,2,1314.01
17036,0.75,314,4,0,1,32,1,45,0,67,4,11,4,3,5,5,16,1,70.03
17093,0.658,78,1,0,1,32,1,30,0,95,5,3,4,3,3,4,17,1,1365.04713
17149,0.833,559,0,1,0,32,2,71,0,95,5,11,4,3,8,5,9,2,4326.52568
17154,0.105,320,1,1,0,0,2,45,0,148,5,16,5,3,9,5,16,0,6003.855589
17207,0.916,228,2,0,1,32,1,37,0,50,7,12,2,1,7,5,9,1,63.50755287
17426,0.833,148,7,0,1,32,1,34,0,51,5,7,1,3,6,4,20,1,1326
17704,0.135,299,2,1,0,30,2,43,0,51,6,13,4,3,4,0,16,2,1562.356495
17712,0.833,533,2,0,1,39,0,65,0,52,5,9,4,3,6,4,14,1,132.61
17713,0.749,165,6,1,1,29,2,32,0,67,8,8,4,3,2,0,17,0,78
17768,0.292,161,7,0,1,32,1,32,0,68,5,7,5,1,5,2,7,1,0
17782,0.333,206,3,1,0,0,2,36,0,64,3,10,4,3,6,4,14,1,0
17865,0.42,98,1,1,0,29,0,33,0,68,6,15,2,1,9,5,16,1,98.25407855
17888,0.25,171,6,0,0,32,1,33,0,64,5,8,4,3,5,4,18,0,0
18045,0.85,305,6,0,0,32,0,48,1,50,5,15,4,3,6,3,16,0,1173
18093,0.583,529,2,1,0,25,3,63,0,53,5,10,4,3,7,2,7,0,0
18162,0.926,227,3,0,1,32,1,42,0,90,5,9,4,3,7,4,10,1,842.38
18172,0.349,134,3,1,1,32,0,31,0,85,5,10,4,3,7,4,18,0,0
18451,0.716,529,1,1,1,39,0,62,0,50,5,6,4,3,6,2,15,0,515.7425982
18500,0.166,447,3,1,0,32,1,56,1,50,5,7,4,3,7,2,9,1,0
18728,0.487,347,1,0,1,32,0,55,0,50,7,13,2,1,8,5,16,1,23229.8
18739,0.249,86,8,0,1,32,0,26,1,80,7,7,1,3,3,3,11,1,1204
18791,0.491,373,8,1,0,32,3,50,0,50,7,14,4,3,6,3,5,1,1204
18830,0.077,159,7,0,1,32,1,32,0,68,5,7,5,1,5,2,7,1,1204
18872,0.807,190,2,0,0,32,1,36,0,58,4,10,2,1,5,4,17,1,4646
19087,0.622,131,0,1,0,29,0,36,1,81,5,21,4,3,9,3,19,2,2187.204834
19161,0.583,260,2,0,0,34,0,41,0,50,4,10,4,3,6,4,11,2,453.955287
19303,0.416,525,6,0,1,34,1,65,0,50,5,5,1,3,3,2,19,1,2120.845921
19346,0.871,47,2,0,1,32,1,23,0,95,1,8,4,3,7,2,19,0,851.69
19374,0.75,244,1,1,0,32,2,39,0,80,0,11,2,1,6,4,8,1,152.38
19376,0.499,364,0,1,0,32,2,59,0,76,5,4,4,3,4,1,1,0,1607.32
19460,0.666,343,4,1,1,0,2,50,0,95,1,16,5,3,8,3,2,2,2346
19562,0.867,335,0,0,0,32,2,51,0,50,7,8,2,1,3,4,20,1,0
19606,0.916,93,3,1,0,25,0,59,0,100,1,21,4,3,9,3,4,2,1204
19633,0.666,320,8,1,1,32,0,49,0,112,5,8,4,3,7,5,16,2,206.58
19669,0.337,142,1,1,1,32,1,29,0,85,2,13,2,1,8,5,2,0,1993.394864
19865,0.073,227,3,0,1,32,1,42,0,95,5,9,4,3,7,4,10,1,0
20049,0.583,124,4,1,0,32,2,28,0,57,8,6,3,2,0,4,1,1,2785.047734
20196,0.499,114,1,0,1,32,0,42,0,95,5,8,2,1,5,2,14,1,3419.8
20271,0.428,616,3,1,0,39,0,69,0,50,2,9,4,3,7,4,4,1,22247.02568
20618,0.583,459,3,1,1,0,2,57,0,57,5,6,4,3,4,1,1,1,885.1939577
20879,1,382,5,1,0,32,2,55,0,71,5,17,2,1,9,3,11,2,94.02416918
20901,0.75,371,1,1,0,32,3,49,0,50,5,11,2,1,7,5,3,1,0
20911,0.503,53,0,0,1,32,2,27,0,100,5,13,5,3,9,4,11,2,4241.691843
21056,0.75,279,3,1,0,29,2,42,0,64,3,9,4,3,6,4,11,1,8639.890332
21273,0.154,139,5,1,1,32,1,30,0,100,5,5,4,1,3,2,19,2,0
21376,0.196,260,7,1,0,32,1,40,0,50,5,14,4,3,7,3,7,1,4023.46
21521,0.099,148,7,0,0,32,2,30,0,50,5,10,4,1,5,5,19,1,3224.42
21527,0.368,308,8,1,0,32,1,43,0,50,3,12,4,3,5,3,17,1,6310.918731
21612,0.499,515,2,1,0,32,1,61,0,95,6,14,5,1,3,3,16,1,663
21646,0.486,332,1,0,0,39,0,67,1,50,2,3,5,3,1,1,16,1,436.8824773
21721,0.291,25,8,0,1,32,1,27,0,100,5,5,1,3,3,4,20,2,1.8
21869,0.083,397,1,1,0,32,1,51,0,50,6,13,2,1,4,5,7,1,0
22023,0.458,257,0,1,1,34,1,40,0,100,5,5,4,3,3,2,13,0,2346
22285,0.499,469,8,1,0,0,2,58,0,50,7,19,4,3,8,3,8,0,1300
22294,0.583,120,3,0,1,32,1,29,0,61,5,11,2,1,7,4,14,2,0
22566,0.237,145,1,1,0,34,0,30,0,60,7,11,2,1,4,3,16,1,757.9314199
22570,0.458,257,0,1,1,34,1,40,0,100,5,5,4,3,3,2,13,0,0
22588,0.987,332,2,1,0,32,2,47,0,50,4,11,4,3,7,5,6,1,403.2317221
22649,0.458,257,0,1,1,34,1,40,0,100,5,5,4,3,3,2,13,0,4562.175227
22748,0.749,172,5,1,0,25,2,37,0,72,5,7,4,3,6,4,3,0,441.51
22848,0.157,90,8,1,1,32,0,27,1,68,5,8,4,1,4,5,19,1,298.4
22953,0.625,55,0,0,1,32,0,37,0,95,5,9,2,1,5,2,16,0,1204
23050,0.151,156,6,1,0,32,0,31,1,68,2,15,4,3,8,3,19,0,1204
23051,0.833,372,5,1,0,25,2,49,0,50,3,13,4,3,5,3,16,1,570.5782477
23060,0.749,222,4,0,1,10,1,38,0,76,5,11,2,1,7,4,16,1,0
23126,0.916,464,7,0,0,32,1,58,0,90,5,8,4,3,7,2,14,1,263.76
23151,0.083,203,1,1,0,29,2,38,0,64,5,14,5,3,9,5,2,0,0
23348,0.916,422,4,1,0,39,0,66,0,90,2,4,5,3,1,1,16,1,1326
23427,0.628,311,2,1,0,0,2,44,0,57,5,11,4,3,6,0,18,2,1204
23434,0.166,141,2,1,0,32,0,37,0,85,6,12,2,1,7,4,20,1,0
23608,1,336,4,1,0,27,2,46,0,50,8,4,4,1,3,2,20,1,2795.545921
23713,0.249,166,2,0,0,32,1,32,0,90,5,8,4,3,6,4,15,2,778.89
23714,0.427,300,2,1,0,30,0,43,0,51,6,13,4,3,4,0,16,2,2974.745619
23846,0.413,272,5,1,0,20,0,47,0,64,8,3,4,3,3,1,19,1,1494.78
24016,1,355,7,0,0,32,1,49,0,50,5,14,2,1,8,3,7,0,1779.319033
24223,0.733,303,6,0,1,32,2,47,0,85,5,4,4,3,2,1,17,0,1204
24245,0.913,105,4,0,1,32,0,32,0,64,5,4,4,3,3,2,14,2,1562.356495
24775,0.786,590,0,1,0,39,0,82,0,55,5,12,4,3,8,5,14,2,1656.380665
24912,0.762,151,3,0,0,32,1,30,0,85,5,6,4,1,4,2,19,0,360.2610272
24956,0.926,227,3,0,1,32,1,42,0,90,5,9,4,3,7,4,10,1,992.5323263
25537,0.73,283,3,1,1,32,0,42,0,54,5,8,4,3,6,4,11,1,2475.180363
25570,0.2,317,4,0,0,34,1,47,0,50,5,12,4,3,7,5,7,1,0
25765,0.292,421,0,1,0,32,2,58,0,66,0,10,4,3,6,4,4,1,0
25859,0.086,70,7,0,0,32,1,31,0,85,5,7,5,1,5,2,4,1,0
25885,0.127,337,4,1,0,32,1,46,0,51,7,14,2,1,8,5,9,1,0
26014,0.666,343,4,1,1,0,2,50,0,95,1,16,5,3,8,3,2,2,0
26109,0.833,440,7,1,0,39,0,67,1,50,5,10,2,1,5,4,11,1,1205
26298,0.666,343,4,1,1,0,2,50,0,95,1,16,5,3,8,3,2,2,1326
26411,0.636,424,0,0,1,0,2,68,0,67,5,6,4,3,2,2,13,1,2346
26482,1,264,6,1,1,34,1,40,0,50,3,12,4,3,5,3,13,2,1205
26546,0.68,277,1,1,0,34,1,42,0,50,7,11,4,3,6,5,8,0,1854.99
26612,0.666,38,2,0,1,10,1,23,0,90,1,8,4,3,7,2,16,1,0
26852,1,336,4,1,0,27,2,46,0,50,8,4,4,1,3,2,20,1,1168.63
27081,0.666,343,4,1,1,0,2,50,0,95,1,16,5,3,8,3,2,2,4326.52568
27101,0.583,72,2,0,0,32,1,37,0,95,5,6,4,1,4,2,13,2,1237.9
27185,0.583,72,2,0,0,32,1,37,0,95,5,6,4,1,4,2,13,2,2877.163142
27378,0.749,165,6,1,1,29,2,32,0,67,8,8,4,3,2,0,17,0,1510.513595
27398,0.249,416,1,1,0,32,2,52,0,50,4,13,2,1,5,3,19,0,384.64
27474,0.764,275,1,0,0,34,1,46,0,55,5,11,2,1,8,4,6,1,0
27542,0.737,133,3,1,1,32,1,43,0,100,5,10,2,1,5,4,19,0,1196.003927
27601,0.524,448,8,1,0,28,2,65,0,50,7,6,4,1,1,4,16,1,3230.68
